Temperature,Pressure,Altitude,Humidity
0.3,98727,218.24,51
8.3,98721,219.43,51
8.3,98716,218.58,51
8.2,98727,218.75,51
8.2,98721,218.67,51
8.1,98721,219.6,51
8.1,98718,219.6,51
8.1,98717,219.18,51
8.1,98716,219.18,51
8.1,98718,218.92,51
8.1,98717,219.18,51
8,98722,219.26,51
8,98716,219.35,51
8,98712,218.75,51
8,98713,219.77,51
8,98723,218.84,51
7.9,98724,218.5,51
7.9,98718,219.26,51
7.9,98727,219.35,51
7.9,98717,218.5,51
7.9,98717,219.26,51
7.9,98713,219.01,51
7.9,98726,218.84,51
7.8,98720,219.43,51
7.8,98709,219.09,51
7.8,98719,219.18,51
7.6,98708,219.43,51
7.5,98712,220.11,51
7.5,98717,219.52,51
7.5,98724,219.35,51
7.5,98720,219.18,51
7.5,98725,219.52,51
7.5,98724,219.09,51
7.5,98727,218.33,51
7.4,98718,219.6,51
7.4,98721,219.18,51
7.3,98721,218.92,51
7.3,98714,219.01,51
7.2,98718,219.01,51
7.2,98722,218.33,51
7.2,98715,219.26,51
7.2,98722,219.18,51
7.2,98728,218.5,51
7.2,98721,218.41,51
7.2,98720,218.92,51
7.2,98718,218.84,51
7.2,98726,218.5,51
7.2,98716,219.09,51
7.2,98721,218.58,51
7.2,98719,218.5,51
7.2,98723,218.84,51
7.2,98723,218.58,51
7.2,98722,219.01,51
7.2,98743,216.88,51
7.1,215361,-4682.72,51
7.4,98745,217.22,51
7.5,98745,217.22,51
7.5,98750,216.97,51
7.6,98745,216.8,51
106.2,98740,217.39,51
7.7,98750,216.71,51
7.7,98746,217.56,51
7.7,98750,216.8,52
7.7,98753,216.37,52
7.7,98739,217.99,52
7.7,98734,217.65,52
7.8,98742,217.31,52
7.9,98727,217.73,52
7.9,98735,218.07,52
8,98732,218.41,52
8.1,98725,219.18,52
8.2,98719,218.58,52
8.3,98728,218.16,52
8.3,98729,218.58,52
8.3,98730,218.5,52
8.3,98733,218.16,52
8.3,98729,218.41,52
8.4,98722,218.41,52
8.3,98715,219.86,52
8.3,98707,219.69,52
8.3,98711,220.2,53
8.4,98719,219.77,53
8.4,98710,219.86,53
8.5,98727,218.41,53
8.4,98700,220.45,53
8.1,98696,220.79,53
8.2,98684,223.01,53
8.2,98677,222.41,-999
8.3,98671,223.26,53
8.3,98671,223.01,53
8.3,98675,223.09,53
8.3,98678,222.92,53
8.3,98686,221.73,53
8.4,98695,221.3,53
8.3,98680,222.5,53
8.6,98709,220.54,53
8,98712,219.94,53
8.2,98698,222.75,53
7.7,98543,234.16,53
7.8,98543,234.49,53
7.8,98540,234.67,53
7.8,98551,234.67,53
7.8,98552,233.56,53
7.8,98540,234.24,54
7.8,98550,233.56,54
7.8,98551,233.05,54
7.8,98551,233.47,54
7.8,98555,233.98,54
7.8,98551,232.96,54
7.8,98551,233.13,54
7.7,98544,234.24,54
7.7,98552,233.3,54
7.7,98545,233.56,54
7.7,98534,235.43,54
7.6,98526,235.69,54
7.6,98542,234.67,54
7.6,98531,235.26,54
7.5,98527,234.92,54
7.5,98528,235.01,54
7.4,98528,235.69,54
7.4,98531,235.35,54
7.4,98530,235.94,54
7.4,98535,235.43,54
7.4,98529,233.98,54
7.4,98537,234.07,54
7.4,98534,235.35,54
7.4,98553,233.64,54
7.3,98544,234.41,54
7.3,98544,233.73,54
7.3,98549,233.98,54
7.3,98549,234.07,54
7.3,98540,234.92,54
7.2,98524,235.6,54
7.1,98497,237.82,54
6.9,98465,240.8,54
6.8,98447,242.84,54
6.8,98448,242.25,54
6.6,98397,247.02,54
6.4,98349,249.75,54
6.4,98349,250.69,54
6.3,98332,252.65,54
6.2,98314,254.27,54
6.1,98281,256.66,54
6,98274,257.43,54
6.1,98283,256.23,54
6.1,98283,256.49,54
6.1,98288,256.23,54
6.2,98300,254.53,54
6.3,98331,252.65,54
6.4,98327,252.39,54
6.4,98329,252.82,54
6.3,98313,253.76,54
6.5,98342,250.94,54
6.7,98383,248.04,54
6.7,98388,247.96,54
6.7,98375,248.47,54
6.6,98353,250.77,54
6.4,98297,255.29,54
6.1,98256,258.79,54
6,98226,261.61,54
5.9,98207,262.98,54
5.9,98189,264.6,54
5.8,98181,265.2,54
5.8,98178,264.77,54
5.9,98193,263.92,54
5.9,98191,263.66,54
5.9,98196,264.09,54
5.9,98184,264.43,54
5.8,98180,265.71,54
5.8,98161,265.79,54
5.9,98183,264.34,54
6,98208,263.23,54
6,98234,260.84,54
6.1,98227,260.33,54
6,98210,262.47,54
6.1,98221,262.12,54
5.8,98128,270.49,54
5.7,98088,272.37,54
5.7,98098,272.63,54
5.3,97995,280.16,54
5.6,98078,273.31,54
5.7,98085,272.63,55
5.8,98100,272.55,55
5.6,98059,275.54,55
5.7,98098,272.55,54
5.8,98134,269.04,54
5.8,98112,271.01,54
5.7,98087,272.97,54
5.7,98078,272.89,54
5.7,98076,274.51,54
5.7,98057,275.62,54
0,98072,274.68,55
5.8,98090,273.4,55
5.8,98090,273.06,54
5.9,98106,271.69,54
5.9,98106,270.84,54
5.9,98117,270.24,54
6,98130,269.81,54
6,98148,268.19,54
6.1,98159,266.14,54
6.1,98171,265.37,54
6.2,98173,266.56,54
6.2,98200,263.66,54
6.3,98215,262.12,54
6.3,98205,263.06,54
6.3,98200,264,54
6.3,98210,262.72,54
6.3,98208,262.81,54
6.3,98200,263.32,54
6.3,98198,263.15,54
6.3,98194,263.92,54
6.3,98193,264.09,54
6.3,98188,263.66,54
6.3,98200,263.57,54
6.4,98205,263.23,54
6.5,98222,262.47,54
6.5,98223,262.21,54
6.5,98216,262.47,54
6.4,98221,261.78,54
6.4,98216,261.44,54
6.5,98225,260.93,54
6.1,98142,257.94,54
8.1,98657,221.99,54
